,time,open,high,low,close,tick_volume,spread,real_volume,EMA34,EMA55,EMA84,converged,signal,signal_price
55,2022-09-29 08:00:00,3673.22,3698.34,3667.63,3686.34,12864,71,0,3712.464579406212,3743.7714842073574,3773.146392356622,True,,
56,2022-09-29 12:00:00,3686.64,3690.13,3618.38,3652.9,17439,76,0,3709.0608891544284,3740.526074057095,3770.3170654776427,True,,
57,2022-09-29 16:00:00,3653.19,3656.81,3609.41,3642.87,12962,75,0,3705.2785526313182,3737.0383571264842,3767.318310995816,True,,
58,2022-09-29 20:00:00,3649.15,3657.7,3645.42,3655.31,1816,82,0,3702.4232067666717,3734.11948722911,3764.682821325326,True,,
59,2022-09-30 00:00:00,3655.64,3657.11,3630.45,3631.62,8891,79,0,3698.3773092371475,3730.4587912566417,3761.5519314117887,True,,
60,2022-09-30 04:00:00,3631.65,3674.12,3627.45,3672.9,9770,82,0,3696.9214629950247,3728.403120140333,3759.4660036138644,True,,
61,2022-09-30 08:00:00,3673.02,3680.42,3642.73,3649.54,11791,71,0,3694.21395082388,3725.586580135321,3756.879509411185,True,,
62,2022-09-30 12:00:00,3649.47,3671.31,3613.73,3641.62,19509,74,0,3691.2085822053727,3722.587773701917,3754.1675209544514,True,,
63,2022-09-30 16:00:00,3641.83,3645.96,3585.19,3585.88,13260,74,0,3685.1898060793515,3717.7053532125624,3750.207814579053,True,,
64,2022-10-02 20:00:00,3589.22,3598.43,3568.74,3572.7,2901,80,0,3678.7618171605313,3712.526590597828,3746.031160118369,True,,
65,2022-10-03 00:00:00,3572.92,3594.68,3559.51,3587.25,9191,82,0,3673.5325704656434,3708.052426647906,3742.2951328214663,True,,
66,2022-10-03 04:00:00,3587.07,3606.07,3577.29,3588.64,9927,83,0,3668.681566439035,3703.7876971247665,3738.679717931549,True,,
67,2022-10-03 08:00:00,3588.43,3612.79,3575.27,3612.55,11373,71,0,3665.4740483568044,3700.5292079417395,3735.7119598625713,True,,
68,2022-10-03 12:00:00,3612.33,3667.83,3604.59,3650.97,13207,72,0,3664.6452455935582,3698.7592362295345,3733.7180313952167,True,,
69,2022-10-03 16:00:00,3651.05,3699.04,3647.17,3676.46,9640,74,0,3665.3203744167836,3697.9628349356226,3732.3707835976825,True,,
