time,open,high,low,close,tick_volume,spread,real_volume,volume
2023-07-26 01:00:00,4569.8,4571.38,4568.89,4570.88,555,95,0,555
2023-07-26 02:00:00,4570.88,4573.13,4569.88,4572.63,354,96,0,354
2023-07-26 03:00:00,4572.63,4574.88,4572.14,4572.4,244,96,0,244
2023-07-26 04:00:00,4572.39,4574.39,4571.64,4571.89,231,95,0,231
2023-07-26 05:00:00,4572.03,4573.64,4571.85,4572.97,387,94,0,387
2023-07-26 06:00:00,4573.09,4576.4,4572.14,4575.9,589,93,0,589
2023-07-26 07:00:00,4575.84,4577.97,4573.44,4575.93,700,93,0,700
2023-07-26 08:00:00,4576.1,4576.1,4569.43,4570.11,528,95,0,528
2023-07-26 09:00:00,4569.93,4572.34,4565.69,4569.08,495,95,0,495
2023-07-26 10:00:00,4569.32,4569.59,4563.3,4565.15,530,96,0,530
2023-07-26 11:00:00,4565.33,4569.07,4564.17,4566.91,485,97,0,485
2023-07-26 12:00:00,4567.09,4567.09,4561.32,4561.4,530,100,0,530
2023-07-26 13:00:00,4561.8,4568.75,4560.77,4565.67,1096,101,0,1096
2023-07-26 14:00:00,4565.41,4567.31,4558.14,4558.87,959,105,0,959
2023-07-26 15:00:00,4558.39,4567.05,4557.62,4566.8,628,102,0,628
2023-07-26 16:00:00,4567.04,4568.76,4557.71,4559.79,445,104,0,445
2023-07-26 17:00:00,4559.63,4562.06,4558.12,4559.84,504,102,0,504
2023-07-26 18:00:00,4559.53,4587.39,4554.95,4577.54,2649,103,0,2649
2023-07-26 19:00:00,4578.25,4579.79,4551.66,4573.39,2379,112,0,2379
2023-07-26 20:00:00,4574.17,4583.9,4569.73,4570.31,963,102,0,963
2023-07-26 22:00:00,4571.98,4573.74,4569.1,4573.05,364,106,0,364
2023-07-26 23:00:00,4572.82,4575.55,4572.8,4574.81,313,103,0,313
2023-07-27 00:00:00,4574.81,4578.57,4572.07,4578.57,627,97,0,627
2023-07-27 01:00:00,4578.57,4582.42,4578.33,4580.89,769,96,0,769
2023-07-27 02:00:00,4580.98,4584.25,4580.74,4583.5,588,93,0,588
2023-07-27 03:00:00,4583.5,4584.75,4583.0,4584.23,352,93,0,352
2023-07-27 04:00:00,4584.25,4588.21,4583.78,4586.48,350,93,0,350
2023-07-27 05:00:00,4586.48,4586.98,4582.5,4585.22,532,94,0,532
2023-07-27 06:00:00,4585.23,4587.72,4584.85,4586.74,760,94,0,760
2023-07-27 07:00:00,4586.97,4595.19,4585.28,4593.54,755,95,0,755
2023-07-27 08:00:00,4593.7,4598.95,4593.7,4598.51,386,95,0,386
2023-07-27 09:00:00,4598.35,4599.66,4596.84,4597.97,342,98,0,342
2023-07-27 10:00:00,4598.03,4600.52,4597.14,4598.04,330,97,0,330
2023-07-27 11:00:00,4598.28,4603.41,4596.62,4602.31,411,97,0,411
2023-07-27 12:00:00,4602.26,4610.99,4601.68,4606.06,1015,98,0,1015
2023-07-27 13:00:00,4606.06,4610.11,4602.45,4605.3,1248,103,0,1248
2023-07-27 14:00:00,4605.68,4605.97,4588.32,4590.23,1450,107,0,1450
2023-07-27 15:00:00,4590.3,4595.48,4586.18,4589.98,1061,106,0,1061
2023-07-27 16:00:00,4589.99,4601.51,4589.32,4599.25,700,104,0,700
2023-07-27 17:00:00,4599.5,4601.49,4572.73,4575.72,1670,104,0,1670
2023-07-27 18:00:00,4575.66,4577.47,4542.79,4542.79,1921,110,0,1921
2023-07-27 19:00:00,4542.1,4553.44,4530.58,4540.44,1858,112,0,1858
2023-07-27 20:00:00,4540.44,4545.89,4539.03,4544.65,422,103,0,422
2023-07-27 22:00:00,4542.65,4544.66,4542.14,4544.58,486,102,0,486
2023-07-27 23:00:00,4544.63,4545.4,4541.45,4542.94,549,95,0,549
2023-07-28 00:00:00,4542.98,4548.71,4542.18,4547.51,774,95,0,774
2023-07-28 01:00:00,4547.66,4549.3,4545.76,4548.26,692,96,0,692
2023-07-28 02:00:00,4548.25,4549.01,4546.51,4549.01,481,94,0,481
2023-07-28 03:00:00,4548.92,4558.89,4538.66,4546.03,1704,95,0,1704
2023-07-28 04:00:00,4546.27,4550.35,4535.13,4548.82,1587,107,0,1587
2023-07-28 05:00:00,4548.82,4557.05,4548.57,4555.89,1103,100,0,1103
2023-07-28 06:00:00,4556.05,4557.79,4551.57,4553.66,1319,98,0,1319
2023-07-28 07:00:00,4553.96,4563.77,4552.58,4556.61,1096,98,0,1096
2023-07-28 08:00:00,4556.78,4558.02,4550.09,4554.92,735,101,0,735
2023-07-28 09:00:00,4555.01,4561.52,4553.11,4559.75,561,100,0,561
2023-07-28 10:00:00,4559.9,4560.65,4555.23,4558.61,501,100,0,501
2023-07-28 11:00:00,4558.59,4565.26,4556.87,4564.7,614,98,0,614
2023-07-28 12:00:00,4564.36,4572.24,4563.59,4572.01,944,103,0,944
2023-07-28 13:00:00,4571.82,4580.24,4566.06,4576.0,1424,103,0,1424
2023-07-28 14:00:00,4575.64,4583.02,4573.86,4582.26,1394,108,0,1394
2023-07-28 15:00:00,4582.51,4592.08,4580.36,4591.31,887,105,0,887
