,time,open,high,low,close,tick_volume,spread,real_volume
1290,2022-08-25,1751.011,1765.475,1749.959,1756.421,78165,125,0
1291,2022-08-26,1756.415,1758.794,1734.167,1738.036,101754,125,0
1292,2022-08-28,1734.811,1738.562,1733.162,1734.772,6173,125,0
1293,2022-08-29,1734.779,1745.482,1720.318,1739.564,90780,125,0
1294,2022-08-30,1739.548,1740.512,1721.168,1723.342,83874,125,0
1295,2022-08-31,1723.339,1726.521,1705.578,1708.989,93202,125,0
1296,2022-09-01,1708.956,1708.956,1688.76,1697.244,97151,125,0
1297,2022-09-02,1697.212,1717.969,1696.303,1712.57,91213,125,0
1298,2022-09-04,1711.099,1711.584,1707.936,1707.996,3101,125,0
1299,2022-09-05,1707.966,1715.743,1707.757,1713.964,51593,125,0
1300,2022-09-06,1713.959,1726.502,1699.788,1703.516,95458,125,0
1301,2022-09-07,1703.513,1719.464,1691.396,1716.591,95631,125,0
1302,2022-09-08,1716.585,1728.05,1703.889,1710.686,106129,125,0
1303,2022-09-09,1710.655,1729.373,1709.721,1717.223,87123,125,0
1304,2022-09-11,1718.44,1720.192,1716.78,1718.433,3416,125,0
1305,2022-09-12,1718.402,1735.118,1711.983,1725.284,92490,125,0
1306,2022-09-13,1725.274,1731.809,1697.018,1702.135,114567,125,0
1307,2022-09-14,1702.178,1707.106,1693.633,1697.55,99561,125,0
1308,2022-09-15,1697.532,1697.812,1660.256,1662.395,103847,125,0
1309,2022-09-16,1662.373,1680.274,1654.145,1675.324,95570,125,0
1310,2022-09-18,1674.449,1680.0,1674.004,1677.983,4036,125,0
1311,2022-09-19,1677.951,1678.777,1659.66,1675.79,84643,125,0
1312,2022-09-20,1675.782,1679.468,1659.95,1666.437,87179,125,0
1313,2022-09-21,1666.43,1688.071,1653.81,1667.08,141289,125,0
1314,2022-09-22,1667.078,1684.87,1655.583,1672.761,138880,125,0
1315,2022-09-23,1672.774,1675.97,1639.751,1643.914,118531,125,0
1316,2022-09-25,1643.209,1645.711,1640.392,1644.091,5574,125,0
1317,2022-09-26,1644.123,1649.673,1621.086,1627.707,150748,125,0
1318,2022-09-27,1627.674,1642.409,1626.686,1628.834,114225,125,0
1319,2022-09-28,1628.833,1662.698,1614.6,1656.153,147566,125,0
1320,2022-09-29,1656.185,1665.208,1641.51,1664.605,132543,125,0
1321,2022-09-30,1664.613,1675.461,1659.236,1661.0,121493,125,0
1322,2022-10-02,1664.046,1665.431,1663.293,1664.189,4625,125,0
1323,2022-10-03,1664.159,1702.591,1659.615,1701.034,126168,125,0
1324,2022-10-04,1701.037,1729.507,1695.163,1725.601,120508,125,0
1325,2022-10-05,1725.599,1727.664,1700.52,1718.417,118196,125,0
1326,2022-10-06,1718.454,1725.529,1706.925,1711.906,108878,125,0
1327,2022-10-07,1711.928,1714.802,1690.528,1695.038,116036,125,0
1328,2022-10-09,1696.274,1699.894,1695.831,1696.731,4572,125,0
1329,2022-10-10,1696.732,1697.27,1665.656,1670.169,101528,125,0
1330,2022-10-11,1670.138,1683.917,1660.905,1664.074,122720,125,0
1331,2022-10-12,1664.053,1678.335,1661.417,1674.52,118115,125,0
1332,2022-10-13,1674.497,1682.397,1642.375,1663.479,152371,125,0
1333,2022-10-14,1663.455,1671.732,1640.161,1644.304,126302,125,0
